name,pronouns,speakerLink,role,description,talk,image
Kirupa Chinnathambi,he / him,https://io.google/2022/speakers/kirupa-chinnathambi/,Product Manager,"Kirupa has spent most of his life trying to simplify app development by helping build a variety of tools, platforms, frameworks, and products - many of which you may have heard of. It is only fitting that he is continuing to follow that passion as a product manager at Firebase. In parallel, Kirupa is a popular content creator who has been blogging about web development topics since 1998 with a few best-selling tech books and some totally sweet bios (written in 3rd person, of course) sprinkled along the way!",What's new in Firebase,https://io.google/2022/speakers/da9df2fc-8895-4989-baaf-6f434d218dba_240.webp
Konstantin Mandrika,he / him,https://io.google/2022/speakers/konstantin-mandrika/,Software Engineer,"Konstantin is an engineer working on Firebase Crashlytics at Google. He is keenly focused on improving the crash experience for Android Java, Native Development Kit (NDK), and Flutter users, especially in the realm of reliability and quality. He has been with the team since the early Fabric days. Prior to Crashlytics, Konstantin worked on database storage engines, real-time data processing, and warehousing systems. In his free time, you'll probably find him fishing, biking, or philosophizing about manual memory management.",Monitoring your app's stability with Firebase Crashlytics,https://io.google/2022/speakers/5bb6ffc0-26c1-4bb6-893a-e5b63ecd498f_240.webp
Konstantine Tsotsos,,https://io.google/2022/speakers/konstantine-tsotsos/,Technical Lead and Manager,"Konstantine Tsotsos is a technical lead and manager on the Google AR Team where he leads teams of researchers and engineers in developing cutting-edge real-time 3D perception and sensor fusion technologies. His teams' past work includes the ARCore Depth and Environmental HDR Lighting APIs, along with other foundational ARCore capabilities. Prior to Google, he obtained his doctorate in computer science from the University of California, Los Angeles, with a focus on visual-inertial sensor fusion and his Bachelor of Applied Science in engineering science from the University of Toronto.",What's under the hood in ARCore,https://io.google/2022/speakers/1571b6ed-78fe-4885-8656-e02d28b28952_240.webp
Kris Braun,he / him,https://io.google/2022/speakers/kris-braun/,"Senior Product Manager, Google Cloud","Kris is the product lead for Workflows, and a true serverless believer. Drawing on 25 years of software development experience, from founding startups to leading engineering teams, Kris loves seeing teams rapidly bring new value to customers without accumulating technical debt. He is passionate advocate for equitable access to job opportunities for those displaced by war and disaster.",Asynchronous operations in your UI using Workflows and Firestore,https://io.google/2022/speakers/2877ee3a-c045-4ff4-83cf-fd4683cec18e_240.webp
Kseniia  Shumelchyk,she / her,https://io.google/2022/speakers/kseniia-shumelchyk/,"Developer Relations Engineer, Android","Kseniia is a developer relations engineer on the Android team at Google, helping developers to design and build great apps for Wear OS. Her current focus is on Compose for Wear OS, developer-facing APIs, app quality and efficiency. Prior to joining Google, Kseniia worked as a full-time Android engineer and was a Google developer expert for Android. Kseniia is a former leader of Women Techmakers Ukraine community and EMEA Google Anita Borg scholar.","Creating beautiful, power-efficient apps for Wear OS",https://io.google/2022/speakers/041e9bcb-7207-4aae-aa4a-1bea568d2740_240.webp
Kweku Adams,,https://io.google/2022/speakers/kweku-adams/,Software Engineer,"Kweku is a software engineer at Google, who has focused on improving battery life for several years. Kweku previously worked on Project Volta and Battery Historian, and now works on the framework, managing several battery optimizing features such as JobScheduler, Battery Saver, and Doze mode. Kweku received his bachelor's degree in computer science from the Massachusetts Institute of Technology and is currently pursuing a master's degree in business administration from the University of Chicago's Booth School of Business.",Managing background work on Android,https://io.google/2022/speakers/257a1167-bf19-4745-919d-0d76a4084b21_240.webp
Lauren Mytton,she / her,https://io.google/2022/speakers/lauren-mytton/,"Product Manager, Google Play","Lauren is lead product manager for App and Game Quality on Google Play. Her goal is to help app and game developers reach more users with better experiences to increase their success. Her portfolio covers tools for both business and technical audiences, including Reach and devices for decision-making, and Android vitals for monitoring and improving technical quality. In previous lives Lauren ran Business Operations for Google Play EMEA, drove buying tool improvements at Amazon, and launched the UK’s first 3G network with Three. She has a degree in mathematics with physics from Trinity College, Cambridge.",App quality on Google Play: New features and developer success stories,https://io.google/2022/speakers/3630e676-b8b6-42f4-9ba7-60b4a76a0711_240.webp
Laurence Moroney,he / him,https://io.google/2022/speakers/laurence-moroney/,Lead AI Advocate,"Laurence leads AI advocacy at Google, working with the Google AI Research and product development teams. He's the best-selling author of over 30 books. He's passionate about empowering software developers to succeed in machine learning, democratizing AI as a result. Laurence is based in Washington state.",AI and machine learning for developers,https://io.google/2022/speakers/40f191f5-5185-4dcc-bbc6-fede25fd86eb_240.webp
Liam Spradlin,he / him,https://io.google/2022/speakers/liam-spradlin/,"Senior Design Advocate, Material Design","Liam is a designer and senior design advocate at Google, focused on the future of interface design. Prior to Google, he helped independent developers, startups, and civic organizations invent or improve great, human-centered experiences across platforms, from mobile devices to TVs, sidewalk kiosks, appliances, and trade show booths. Liam also hosts a podcast called Design Notes, a show about creative work and what it teaches us.",Migrating to variable fonts,https://io.google/2022/speakers/c0214355-accd-47fe-a034-792d024fed59_240.webp
Lokesh Gidra,he / him,https://io.google/2022/speakers/lokesh-gidra/,Software Engineer,"Lokesh is a software engineer in the Android Runtime (ART) group, focusing on its garbage collector. He holds a PhD in Garbage Collection from INRIA, France. Prior to joining Google in 2017, he worked as a research engineer at Hewlett Packard Labs.",What's new in app performance,https://io.google/2022/speakers/054fd0ce-5c9b-49f5-af4f-ec6ce21c5d9f_240.webp
Luca Ballan,he / him,https://io.google/2022/speakers/luca-ballan/,Staff Software Engineer,"Luca Ballan is a tech lead in Google AR where he currently leads the machine learning effort for motion tracking, providing ARCore users with state-of-the-art technologies for continuous and reliable AR experiences. Luca received his doctorate in electrical and computer engineering from the University of Padova, Italy, and later worked as a senior researcher at ETH Zurich, Switzerland, focusing on spatio-temporal modeling of real events. Luca’s research publications span topics like human motion capture, video-based rendering, 3D reconstruction, and image-based localization.",What's under the hood in ARCore,https://io.google/2022/speakers/ab8e2081-dd1e-4590-b2a1-37efa1bf7bb1_240.webp
Luyan Chi,she / her,https://io.google/2022/speakers/luyan-chi/,Staff Software Engineer and Tech Lead Manager,"Luyan is a staff software engineer and tech lead manager in Google, where she leads the engineering team building Google Assistant ecosystem platform that enables third-party developers and partners to build rich and natural conversational applications on Google Assistant. Prior joining Google, Luyan received bachelor's degree from Tsinghua University, China, and master's degree from University of Southern California.",How Google Assistant’s architecture powers voice features in your apps,https://io.google/2022/speakers/9e99b18c-c369-44a1-b154-e4bc1269a461_240.webp
Madeleine  Elish,she / her,https://io.google/2022/speakers/madeleine-elish/,Cloud Responsible AI Lead,"Madeleine, is a cultural anthropologist with a background in researching the social impacts of AI and automation on society. She joined Google as a senior research scientist, and now leads Cloud's Responsible AI work. She currently serves on the Executive Committee of the ACM Conference on Fairness, Accountability, and Machine Learning (FAccT). Previously, she led an AI research and policy team at Data & Society Research Institute, a think tank focused on the power and purpose of technology in society. Her work has been published and cited in scholarly journals as well as publications including The New York Times, Wired, and MIT Tech Review. She holds a doctorate in anthropology from Columbia University and a Master of Science in comparative media studies from the Massachusetts Institute of Technology.",Responsible AI review processes: From a developer’s point of view,https://io.google/2022/speakers/31508d69-093a-43ad-bd96-9e9114851a0a_240.webp
Madhukar Srivastava,,https://io.google/2022/speakers/madhukar-srivastava/,"Product Manager, Google Assistant","Madhukar is a product manager on the Google Assistant team working on the Assistant Integration Platform building products that help developers create voice first experiences across surfaces. At Google he has also worked across the Assistant on Auto, Next Billion Users, and Ads teams. Prior to Google, Madhukar was a co-founder at a few startups and has multiple patents in his name. He's an alumnus of Carnegie Mellon University, Indian Institute of Management Ahmedabad, Indian Institute of Technology Kanpur, and loves spending time with his kids and pursuing his passion of playing cricket and tennis.",Google Assistant functionality across Android devices,https://io.google/2022/speakers/16b52857-d04d-475c-b130-59c9cf643264_240.webp
Mai Lowe,she / her,https://io.google/2022/speakers/mai-lowe/,Product Manager,"Mai is a product manager focusing on Meet Platform in Workspace. Before Meet, Mai was leading graphics for Chrome’s Web Platform team, deepening graphics capabilities for the web ecosystem. She has her roots in analytics, having worked on app analytics solutions first in Google Analytics for app advertisers, and later for developers in Firebase. Mai earned her bachelor's degree from Cornell University, and a master's degree from the University of California at Los Angeles.",Learn how to enable shared experiences across platforms,https://io.google/2022/speakers/fd1345d7-bda8-4fec-8ca8-0a8ebd703bb2_240.webp
Manuel Vicente Vivo,,https://io.google/2022/speakers/manuel-vicente-vivo/,Android Developer Relations Engineer,"Manuel is an Android Developer Relations engineer at Google. With previous experience at Capital One, he currently focuses on App Architecture, Kotlin & Coroutines, Dependency Injection, and Jetpack Compose.",State in Jetpack Compose,https://io.google/2022/speakers/e98b9713-8589-4a1c-adc3-85888f7f1875_240.webp
Marco Cavalli,he / him,https://io.google/2022/speakers/marco-cavalli/,"Product Manager, Google","Marco is an experienced product manager focused on providing the best tools and experience for partners to integrate smart devices into the Google Smart Home ecosystem. Prior to joining Google Home and the Matter initiative, Marco spent five years in Google Cloud security, enabling enterprises to move their workloads to the Cloud securely. In his previous roles, Marco worked in the semiconductor industry and co-founded a startup to build wearable devices for safety in outdoor sports.",Building smart home apps with the Google Home mobile SDK,https://io.google/2022/speakers/e8f7a31a-c656-443b-860b-bf0932d3a2ad_240.webp
Mark Thompson,he / him,https://io.google/2022/speakers/mark-thompson/,Sr. Developer Relations Engineer,"Mark loves to teach and code. He is an award winning university instructor and engineer. He comes with a passion for creating meaningful learning experiences. With over a decade of developing solutions across the tech stack, speaking at conferences, and mentoring developers, he is excited to continue to make an impact in tech. Lately, Mark has been spending time as a developer relations engineer on the Angular Team.",State of Angular,https://io.google/2022/speakers/350800bb-ada6-498b-9816-993d689f8357_240.webp
Marwa Mabrouk,she / her,https://io.google/2022/speakers/marwa-mabrouk/,Product Manager,"Marwa Mabrouk is the lead product manager of Android Camera Platform. Prior to that, for the last 8 years, she led several analytical and monetization products around different areas in Google, including: Google Ads, YouTube, and Google One. Marwa has an Master of Business Administration from University of Redlands, master’s degree in computer science from University of Louisville, and a Bachelor of Engineering in electronics and telecom from Cairo University. Marwa is a strong advocate for partner collaboration, empowering developers with the best of what Google has to offer, and enriching users with art through beautiful photography and videography on a phone.",What's new in Android Camera,https://io.google/2022/speakers/b62779a7-a11e-436d-a65a-6f7605559b52_240.webp
Matt  Monasch,he / him,https://io.google/2022/speakers/matt-monasch/,Developer Relations Engineer,"Matt is a developer relations engineer on Chrome OS. His role is focused on guiding developers along their glorious quest to bring more games to the Chrome OS platform and advocating for their needs to improve the development experience for everyone. Having worked in the games industry and studied game design and development from Rochester Institute of Technology, Matt is especially passionate about games, the technology that powers them, and the people who make them.",Expand your game with Chrome OS,https://io.google/2022/speakers/66c25f45-40ca-471d-836d-0ebcdbd3cb69_240.webp
Matt Walter,,https://io.google/2022/speakers/matt-walter/,Product Manager,"Matt is a product manager for Google Analytics. In his role, Matt is focused on Analytics Intelligence features which is a set of features that use advanced modeling techniques to help customers better understand and act on their Google Analytics data.",Meet your business objectives with automation in Google Analytics 4,https://io.google/2022/speakers/7f034752-d8b8-46ca-b8a7-0290df850353_240.webp
Matthew  Izatt,he / him,https://io.google/2022/speakers/matthew-izatt/,Workspace Platform Product Lead,"Matthew is the product lead for the Workspace Platform growing the Workspace ecosystem through APIs, add-ons, bots, and partnerships. Through these product integrations and business partnerships, we are driving user productivity and business value by making Workspace a hub of all work. Previously, Matthew was a long time PM lead for the Gmail front-end, including Android, iOS, and web. Before Google, Matthew was designing, selling, and deploying cryptographic security solutions at Certicom and HPC solutions at Platform Computing, after obtaining an Master of Science in computer science.",The cloud built for developers,https://io.google/2022/speakers/cfc144c0-784b-4437-8c41-5c6b577ba7c8_240.webp
Matthias Anlauff,he / him,https://io.google/2022/speakers/matthias-anlauff/,Partner Engineer,"Matthias has been with Google since 2016 and works as a partner engineer in the Google Assistant team focusing on App Actions and related technologies. In his day-to-day work, Matthias supports partner companies to integrate their Android apps with Google Assistant as well as working on improving the developer experience when integrating with App Actions. Matthias' career spans many decades where he had the opportunity to gather insights from various different angles including teaching university courses and leading government-sponsored research projects as well as spearheading innovation in enterprise software during his time at SAP. Matthias holds a doctorate in computer science and is the author of numerous research papers and patents.",Integrate Android widgets with Google Assistant,https://io.google/2022/speakers/4c9b37bf-eeaa-4022-bb99-7347944669f5_240.webp
Mete Atamel,,https://io.google/2022/speakers/mete-atamel/,Developer Advocate,"Mete is a developer advocate at Google, focused on helping developers with Google Cloud. As a long-time Java and C# developer, he likes to compare the two ecosystems. Prior to Google, Mete worked at Microsoft, Skype, Adobe, EMC, and Nokia building apps and services on various web, mobile and cloud platforms. Originally from the island of Cyprus, he currently lives in Greenwich, London, not too far away from the prime meridian.",Build an event-driven orchestration with Eventarc and Workflows,https://io.google/2022/speakers/bc425ff8-8992-4bd5-8e1f-86a4826f57c7_240.webp
Michael Doyle,he / him,https://io.google/2022/speakers/michael-doyle/,Senior Software Engineer,"Michael is a software engineer on the Firebase Crashlytics team focused on foundational infrastructure, such as the crash reporting pipeline. Previously, Michael held software engineering roles at Twitter and Goldman Sachs. He holds a Bachelor of Science in information technology and computer science from Rensselaer Polytechnic Institute.",Optimize app health with Firebase performance monitoring & Crashlytics,https://io.google/2022/speakers/79becbaa-3328-439b-9822-d3fda07329d7_240.webp
Michael Gilbert,he / him,https://io.google/2022/speakers/michael-gilbert/,User Experience Researcher,"Michael is a senior user experience researcher on the Material Design team. His research has spanned component usability, accessibility, Material for enterprise, digital wellbeing, ethical computing, and context-sensitive computing. Most recently, Michael has focused on researching the human-computer interaction (HCI) fundamentals for the Material Design system, aiming to provide a user-centered research foundation for all our patterns and components across all the contexts in which those patterns and components may be deployed.",Create expressive and readable typography with variable fonts,https://io.google/2022/speakers/cd022e2d-8551-4e47-91a4-85b4ce9129bf_240.webp
Michael Goderbauer,he / him,https://io.google/2022/speakers/michael-goderbauer/,Senior Software Engineer,"Michael has been working on the Flutter team for over five years. He is the tech lead for the core framework. Prior to joining Flutter, Michael worked on internal developer tools for Google AdWords. He holds a master's degree in IT-systems engineering from the Hasso Plattner Institute in Potsdam, Germany.","Flutter Concurrency: When, why, and how to multithread in Flutter",https://io.google/2022/speakers/f8000f6a-9443-40a2-a8f5-fc9e597a6027_240.webp
Michael Thomsen,he / him,https://io.google/2022/speakers/michael-thomsen/,Product manager,"Michael is the product manager for the Dart platform. He works with the Dart and Flutter engineering teams on creating the best foundation for building high-quality apps that run on multiple platforms. He's based in Google's Aarhus, Denmark, office. He holds a doctorate in computer science from University of Aarhus.","Flutter Concurrency: When, why, and how to multithread in Flutter",https://io.google/2022/speakers/641995ee-530d-4437-a0eb-dbe577e1bc06_240.webp
Michal Mocny,he / him,https://io.google/2022/speakers/michal-mocny/,Developer on Chrome Speed Metrics and Core Web Vitals,"Michal is a software developer working on Chrome Speed Metrics and Core Web Vitals. Michal has 10+ years on Chrome team, currently working on measuring responsiveness and animation smoothness.",The state of responsiveness on the web,https://io.google/2022/speakers/748b297a-dfd7-4388-aead-8ce3b48f4ed9_240.webp
Michele Turner,she / her,https://io.google/2022/speakers/michele-turner/,"Director, Product Management, Smart Home Ecosystem","Michele has over 20 years of experience in high-tech product development, product marketing, and business management, from start-ups to Fortune 500 companies. As Senior Director of Google Smart Home Developers & Ecosystem, she’s grown the number of smart home products that work with Google from a few hundred to over 80,000 and is responsible for the Google Home developer environment and partner engineering, which together enable smart device makers to develop rich, innovative experiences for their consumers on the Google platform.",What’s new in Google Home,https://io.google/2022/speakers/f9bfbb40-a8fe-4003-adc0-49e0f3e7c648_240.webp
Miguel Montemayor,he / him,https://io.google/2022/speakers/miguel-montemayor/,"Developer Relations Engineer, Android","Miguel is a developer relations engineer on Android. He focuses on supporting developers in optimizing their apps for large screens, tablets, and foldables. He also supports Google TV. Previously, he worked as a developer advocate at Clover Network, Inc, and a program manager at Microsoft. Miguel earned a bachelor's degree in symbolic systems with an emphasis on human-computer interaction from Stanford University.",Building an adaptive layout with SlidingPaneLayout,https://io.google/2022/speakers/32ef98d9-a02f-4bd2-9457-5fb423ffd862_240.webp
Mihai Popa,he / him,https://io.google/2022/speakers/mihai-popa/,Software Engineer,"Mihai is a software engineer working on Android AI applications in Google Research. Before this, Mihai was part of the Android Toolkit team, where he worked on Jetpack Compose as one of the earliest contributors. In Compose, his expertise areas are layouts and View interoperability. Before Google, Mihai studied at Imperial College London.",Lazy layouts in Compose,https://io.google/2022/speakers/5c06fde1-6f1f-469b-94b0-dd0c87b0d8ed_240.webp
Mike Knapp,he / him,https://io.google/2022/speakers/mike-knapp/,"Product Manager, Next Billion Users Team","Mike manages Task Mate on the Next Billion User team. This is Mike’s second stint at Google. He first joined in 2005, back when the Sydney office only had a dozen employees. Originally in the sales team, Mike eventually moved across to become a software engineer, working on projects in Mountain View and China. He left Google in 2009 to co-found a startup. Mike rejoined Google in 2018, this time as a product manager. Mike earned a Bachelor of Science in computer science and a Bachelor of Law from the University of Queensland.",Building for everyone: The importance of representative data,https://io.google/2022/speakers/3c1fb47e-8538-4906-9300-9b1b281d713c_240.webp
Mike Procopio,he / him,https://io.google/2022/speakers/mike-procopio/,Senior Staff Software Engineer,"Mike is a senior staff software engineer at Google on the AppSheet team. He’s passionate about using machine intelligence to create positive user experiences and impact for good. Prior to AppSheet, Mike worked for eight years on Google Drive leading the Drive API and Drive Intelligence teams. He later held multiple engineering residencies supporting startups with Google's early-stage VC fund, Gradient Ventures. Mike holds a doctoriate in computer science from the University of Colorado, where he studied machine learning and autonomous robot navigation. When not working on ML-like things, Mike can be found running along the trails near his home in Boulder, Colorado.",Extending Google Workspace with AppSheet’s no-code platform and Apps Script,https://io.google/2022/speakers/f5f8eb7b-3251-496f-8b00-5fcfe670b4a7_240.webp
Minko Gechev,he / him,https://io.google/2022/speakers/minko-gechev/,Staff Developer Relations Engineer,"Minko is a developer relations lead focused on open-source technologies at Google. He is passionate about computer science, open source frameworks, libraries, and performance tooling.",Modern Angular deployment with Google Cloud,https://io.google/2022/speakers/6e2fb32b-236b-4a00-b1ed-dccc39a0b9f0_240.webp
Nandana Dutt,she / her,https://io.google/2022/speakers/nandana-dutt/,Software Engineer,Nandana is a lead on the Android Framework team working on privacy initiatives.,Overview of the Privacy Sandbox on Android,https://io.google/2022/speakers/077e7c38-871e-43db-9e86-f1f9bb215813_240.webp
Neha Malhotra,she / her,https://io.google/2022/speakers/neha-malhotra/,Product Strategist,"Neha is a product strategist on the Next Billion Users team. She consults with teams across Google on best practices for building technology products and businesses for the wave of users coming online from emerging markets such as India, Indonesia, Brazil, Mexico, and Nigeria. Prior to the Next Billion Users initiative, she spent seven years working in Google’s Business Organization, earning her extensive experience with developing go-to-market strategies and launching global products and campaigns.",What we can learn from the internet’s newest users,https://io.google/2022/speakers/acf3ae04-71a1-493d-8be3-5ed1ed1fba44_240.webp
Nevin Mital,he / him,https://io.google/2022/speakers/nevin-mital/,"Developer Advocate, Android","Nevin is a developer advocate currently working on the Android Media team. Previously, he has supported Android for Cars products.
Nevin earned a bachelor’s degree in both Computer Science and Business Administration from the University of Michigan.",What's new in Android media,https://io.google/2022/speakers/b4a45320-ba97-4f6d-9ad7-093e3e7a959a_240.webp
Nicholas Harthan,he / him,https://io.google/2022/speakers/nicholas-harthan/,"Product Manager, Google Play","Nick is a product manager in Google Play. He is passionate about helping developers succeed, enjoys working with apps on new products that underpin their growth, and previously led business development teams working on the Google Assistant and Search in EMEA and APAC. Prior to joining Google, Nick developed his career in strategy, corporate development, and marketing working across Telecoms, Media, Technology, and Retail. Prior to this he lead business development teams working across the Google Assistant and Search in EMEA and APAC.","Power your success with new acquisition, engagement and monetization tools",https://io.google/2022/speakers/b81c3c32-bb38-4081-b3e6-199689aeb932_240.webp
Nick Bearman,he / him,https://io.google/2022/speakers/nick-bearman/,"Staff Motion Designer, Android System UI","Nick has been working to improve quality across Android since the launch of Material Design. Prior to Google he worked as a software designer and prototyper, solving ux problems for companies including Intel, Samsung, Sony, SonyEricsson, RIM, Skype and more.
Nick earned a bachelor's degree in Creative Music Technology at Bath Spa University in Somerset.",Back to the basics of System Back,https://io.google/2022/speakers/5af1c614-92f3-4c0f-8df6-d47a672bba0c_240.webp
Nick Butcher,he / him,https://io.google/2022/speakers/nick-butcher/,Android Developer Relations Engineer,"Nick is an Android Developer Relations engineer, focused on UI and Jetpack Compose.",What's new in Android,https://io.google/2022/speakers/3931c732-e820-4c8b-a1c5-f44a24b5297a_240.webp
Nicole Naurath,she / her,https://io.google/2022/speakers/nicole-naurath/,Senior User Experience Researcher,"Nicole helps answer societal questions about internet behaviors and use by conducting nationwide surveys for the Next Billion Users team. She is passionate about collecting data that most accurately represents a population, including people who are new to the internet or not using it yet, as proper survey representation helps us build better products for everyone. Prior to Google, Nicole lived in Bangkok, Thailand, and oversaw all quantitative and qualitative research across 24 countries in Asia Pacific for the Gallup World Poll. Nicole holds a Master of Public Policy from the University of Chicago, a Master of Arts in international affairs from Florida State University, and a bachelor’s degree with a double major in political science and Spanish from Florida State University.",What we can learn from the internet’s newest users,https://io.google/2022/speakers/b4e08d12-41a1-4938-8a0c-4979c937374b_240.webp
Nikita Namjoshi,she / her,https://io.google/2022/speakers/nikita-namjoshi/,"Developer Advocate, Google Cloud","Nikita is a developer advocate who helps machine learning engineers build, deploy, and scale models on Google Cloud. She previously worked on the TensorFlow team. When she's not creating demos or tutorials, you'll find her caring for houseplants and discovering new ways to lower her environmental footprint.",From colab to Cloud in five steps,https://io.google/2022/speakers/7b2b3d71-7e1f-41db-9139-7fa309a95fa5_240.webp
Nimer Jaber,he / him,https://io.google/2022/speakers/nimer-jaber/,"Accessibility Analyst, Android","Nimer is an accessibility analyst on the TalkBack and Braille team. As an accessibility analyst, Nimer works alongside engineers to deliver a reliable and helpful Android experience for the blind. Prior to his work with Android, Nimer worked in a similar role providing accessibility feedback to the Google Workspace team. Before joining Google, Nimer provided innovative technology training to individuals who are blind at a nonprofit in Minnesota. Nimer has certifications to deliver technology training, as well as knowledge-based certifications, for various screen reading programs.",What's new in Android accessibility,https://io.google/2022/speakers/34562f5c-d670-4aa2-87af-2266593e70f9_240.webp
Patrick Fuentes,,https://io.google/2022/speakers/patrick-fuentes/,Developer Relations Engineering Manager,"Patrick is a manager on the Chrome OS Developer Relations team at Google. He focuses on helping developers bring great experiences to Chrome OS. Patrick has been building Android apps since 2012, and he's found a new interest in Progressive Web Apps since joining the team.",Input for all screens,https://io.google/2022/speakers/c13ba57e-2de9-4f64-9d77-be2d38cd2586_240.webp
Paul Lammertsma,he / him,https://io.google/2022/speakers/paul-lammertsma/,Developer Relations Engineer,"Paul is a developer relations engineer for Android, focusing on Android TV and large screens, including tablets and foldables. He has ten years of industry experience bringing Android apps to market across a multitude of platforms and form factors, and now supports the developer ecosystem through platform and tooling updates, documentation, and samples.
Paul earned a bachelor's degree in Computer Science with an emphasis on human computer interaction from Utrecht University in the Netherlands.",What's new with Android TV and Google TV,https://io.google/2022/speakers/38119636-192d-4a35-9730-220ade104777_240.webp
Petra Cross,she / her,https://io.google/2022/speakers/petra-cross/,"Senior Software Engineer, Google Pay","As a Google Wallet backend engineer, Petra focuses on bringing delightful digital passes experience to Google users around the world. She develops the suite of Passes APIs including REST, JWT-based, and Android SDK APIs that helps developers provision and distribute passes and provide relevant updates for Wallet users. During her 17 years with Google, Petra also developed a frontend serving stack at Google Pay, engineering productivity tools at Gmail Frontend, and created data pipelines for evaluating improvements to Google Search ranking algorithms. Petra studied computer science at University of Žilina in Slovakia and earned a bachelor’s degree in computer science and mathematics from Santa Clara University in California.",What's new for Google Pay Passes,https://io.google/2022/speakers/bbd44e14-ac8d-41de-bdca-5e016b2ba0ce_240.webp
Philip Walton,he / him,https://io.google/2022/speakers/philip-walton/,Staff Developer Relations Engineer,"Philip leads the Developer Relations team working on performance and Core Web Vitals within Chrome, and is the creator of one of the most popular web performance measurement libraries in use on the web today. Before working on Chrome, Philip worked on Google Analytics building tools and libraries for web developers. He now brings that expertise to Core Web Vitals and is passionate about helping developers better measure and understand the real-world performance of their sites and applications.",A deep dive into optimizing LCP,https://io.google/2022/speakers/9935358d-50bf-4e5a-a9ea-8eb83136bffe_240.webp
Pierre Delisle,he / him,https://io.google/2022/speakers/pierre-delisle/,"Staff Software Engineer, Nest Partner Engineering","Pierre is a 16-year veteran at Google where he has been involved in a variety of projects including AdWords, the Google Play Store, Chromecast, and the Google Smart Home ecosystem. In his current role, Pierre focuses on providing Android developers with a variety of tools within the Google Smart Home ecosystem to help them be successful with the new Matter standard. Pierre holds a Master of Science in computer science from the University of Toronto. He earned his Bachelor of Science in computer science from Université Laval in Québec City.",Building smart home apps with the Google Home mobile SDK,https://io.google/2022/speakers/1f90439e-17e2-4ffa-a9d0-701262925c7f_240.webp
Qazi Mamunur Rashid,he / him,https://io.google/2022/speakers/qazi-mamunur-rashid/,Associate Principal,"Qazi works on the Responsible Innovation team at Google. He advises product teams on building responsible and fair AI technologies by evaluating the impact of technology on society. Before Google, Qazi tackled issues such as financial inclusion, education, and employment in the United States and Middle East and North Africa region while working with several social enterprises, an impact investor, and government. Trained in economics and international affairs, Qazi received his bachelor’s degree from Georgetown and master’s degree from Princeton. He was born and raised just outside of Chittagong, Bangladesh.",Product fairness testing for developers,https://io.google/2022/speakers/e353218a-e4f0-4624-a483-4ae09d71d9ad_240.webp
Rachel  Andrew,she / her,https://io.google/2022/speakers/rachel-andrew/,Staff Technical Writer,"Rachel is a staff technical writer on the Chrome team, and content lead for web.dev and developer.chrome.com. She's a member of the CSS Working Group at the W3C, and a CSS specification editor. She's the author and co-author of 23 books on web development, and an established public speaker. Prior to joining Google, Rachel worked at her own company as a CMS developer, technical writer, and editor. Rachel has a master's degree in international journalism from Napier University.",Bridging the gap: Making it easier to build for the web,https://io.google/2022/speakers/49df76e1-abae-4b17-ae25-eeb54015d325_240.webp
Rajiv Appana,,https://io.google/2022/speakers/rajiv-appana/,"Head of Product, GPay Online and Merchant","Rajiv Appana leads Merchant Products at GPay for Google, focusing on mobile, online payments, and offers and rewards. His work includes working with eco-system partners, including card issuers, payment networks, processors, and e-commerce merchants. He is passionate about enabling seamless payments and engagement between merchants and consumers to drive secure commerce. Rajiv earned his bachelor’s degree from the University of Mysore, India, and his Master of Business Administration from the University of California at Berkeley. He brings together his rich experience working with large tech companies as well as founding companies as an entrepreneur.",What’s new in Google Pay,https://io.google/2022/speakers/1a0f0ef2-7e49-4b09-9666-dc96bd80c179_240.webp
Ramesh Nair,he / him,https://io.google/2022/speakers/ramesh-nair/,Product Manager,"Ramesh is a product manager on the Google Workspace team, where he works on third-party integrations in Gmail, Chat, and other Workspace products, helping shape the future of work for millions of users.
Prior to his current role, he worked in strategy and operations at Google, specifically for the Google Ads business in Canada. Prior to joining Google, Ramesh worked as a strategy consultant at Boston Consulting Group (BCG), where he advised some of the world’s most important companies on strategy and digital transformation.
Ramesh earned a bachelor’s degree in Electrical Engineering from McGill University in Montreal and an MBA from INSEAD in Singapore and France.",What's new in the world of Google Chat apps,https://io.google/2022/speakers/b4801fef-6865-4695-8369-3d4770c8b070_240.webp
Rebecca Nathenson,she / her,https://io.google/2022/speakers/rebecca-nathenson/,Director of Product Managmenet,"Rebecca leads the Google Assistant Integrations Platform product team. The team creates tools and end-user experiences that help developers build amazing visual and voice experiences for the Google Assistant. Rebecca has led product teams at Box, Jobvite, NetSuite, and Shutterfly, working across enterprise software, consumer products, and developer products. She holds a bachelor's in international relations from Stanford University and an Master of Business Administration from Carnegie-Mellon's Tepper School of Business.",How Google Assistant’s architecture powers voice features in your apps,https://io.google/2022/speakers/7288dbee-d87c-4c2e-b946-596f629c5fbe_240.webp
Reid Baker,,https://io.google/2022/speakers/reid-baker/,Senior Software Engineer,"Reid is a team lead for Stadia's user interface team. He founded the Stadia Mobile team, using Flutter to launch on Android and iOS. Prior to this he worked on the Nest Android app and help launch multiple nest hardware products. Reid studied computer science at the Georgia Institute of Technology, graduating in 2013.",Real-world Flutter lessons for federated plugin development,https://io.google/2022/speakers/8d894a21-e9cc-40ad-b59c-06a038945617_240.webp
